pair,f1
2013_Colorado_floods → 2013_Australia_bushfire,0.3905375607390633
2013_Colorado_floods → 2013_Bohol_earthquake,0.5896365650092753
2013_Colorado_floods → 2013_Boston_bombings,0.36304735285481604
2013_Colorado_floods → 2013_Brazil_nightclub_fir,0.4687194832467282
2013_Colorado_floods → 2013_Glasgow_helicopter_c,0.30093139294656607
2013_Colorado_floods → 2013_Lac_Megantic_train_c,0.4932222494628293
2013_Colorado_floods → 2013_LA_airport_shootings,0.30199622341921367
2013_Colorado_floods → 2013_Manila_floods,0.5064262827811252
2013_Colorado_floods → 2013_NY_train_crash,0.36540936790760675
2013_Colorado_floods → 2013_Queensland_floods,0.39661916193221597
2013_Colorado_floods → 2013_Russia_meteor,0.4050557980217099
2013_Colorado_floods → 2013_Sardinia_floods,0.6012471621122784
2013_Colorado_floods → 2013_Savar_building_colla,0.47527898372174643
2013_Colorado_floods → 2013_Singapore_haze,0.29639864495718243
2013_Colorado_floods → 2013_Spain_train_crash,0.448008951493585
2013_Colorado_floods → 2013_Typhoon_Yolanda,0.575723962792541
2013_Colorado_floods → 2013_West_Texas_explosion,0.3505033242750893
2013_Glasgow_helicopter_c → 2012_Colorado_wildfires,0.45064372237705913
2013_Glasgow_helicopter_c → 2012_Costa_Rica_earthquak,0.49763185220575323
2013_Glasgow_helicopter_c → 2012_Guatemala_earthquake,0.5473329432549385
2013_Glasgow_helicopter_c → 2012_Italy_earthquakes,0.5530841150467497
2013_Glasgow_helicopter_c → 2012_Philipinnes_floods,0.5264415946893597
2013_Glasgow_helicopter_c → 2012_Typhoon_Pablo,0.5341814739740421
2013_Glasgow_helicopter_c → 2012_Venezuela_refinery,0.4907077755100528
2013_Glasgow_helicopter_c → 2013_Alberta_floods,0.4546222180669399
2013_Glasgow_helicopter_c → 2013_Australia_bushfire,0.3960446313926001
2013_Glasgow_helicopter_c → 2013_Bohol_earthquake,0.6114391913860825
2013_Glasgow_helicopter_c → 2013_Boston_bombings,0.4569041505448563
2013_Glasgow_helicopter_c → 2013_Brazil_nightclub_fir,0.621219492879417
